9742,45022,44654;
9742,51288,34698;
9742,49272,44030;
9742,45768,44134;
9742,50986,41606;
9742,51350,46736;
9742,39298,48148;
9742,63810,34304;
9742,49026,52834;
9742,35526,54630;
9742,35290,50142;
9742,50056,56054;
9742,46898,37610;
9742,49414,46328;
9742,39080,41836;
9742,50848,47398;
9742,22760,43392;
9742,55116,43080;
9742,51808,40430;
9742,48764,56864;
9742,31454,40346;
9742,47070,37912;
9742,45922,41734;
9742,40682,33328;
9742,41570,49370;
9742,46544,46992;
9742,41276,60144;
9742,53174,55508;
9742,58692,50188;
9742,40450,50092;
9742,39112,33636;
9742,50752,44306;
9742,34304,60328;
9742,50930,37028;
9742,35650,53430;
9742,52710,39896;
9742,50336,49650;
9742,49576,46176;
9742,40744,41586;
9742,47660,52914;
9742,29646,37868;
9742,41152,36678;
9742,44994,34972;
9742,57124,58958;
9742,44790,41682;
9742,43680,34144;
9742,48468,38540;
9742,45770,45392;
9742,43722,47518;
9742,45662,48418;
9742,42680,46314;
9742,38478,48534;
9742,38368,41586;
9742,48088,39630;
9742,49904,49270;
9742,46272,42300;
9742,51204,61358;
9742,43044,52724;
9742,39282,52034;
9742,44516,49186;
9742,42156,39706;
9742,41780,41658;
9742,51568,40950;
9742,43936,43326;
9742,45722,50558;
9742,47334,44380;
9742,47734,41912;
9742,55898,41100;
9742,47396,41682;
9742,32080,43694;
9742,44852,49580;
9742,42756,42952;
9742,53404,49878;
9742,36020,43392;
9742,47652,55122;
9742,38730,40430;
9742,27796,37912;
9742,55416,49650;
9742,37288,57392;
9742,32232,37868;
9742,41402,50184;
9742,39048,29592;
9742,57864,48128;
9742,56676,54228;
9742,66474,44810;
9742,41350,41422;
9742,41932,42168;
9742,57806,40430;
9742,61734,35048;
9742,52890,56728;
9742,48360,52766;
9742,63456,52824;
9742,55410,44570;
9742,63760,47658;
9742,46140,42552;
9742,43298,35466;
9742,30178,49852;
9742,40574,39066;
9742,48802,51486;
9742,55504,41606;
9742,43216,32460;
9742,41428,40782;
9742,41978,55718;
9742,42802,52612;
9742,37902,42476;
9742,46480,48100;
9742,46416,23886;
9742,43898,50894;
9742,33340,33210;
9742,44496,37742;
9742,50348,33440;
9742,48358,42008;
9742,28350,50560;
9742,48258,63520;
9742,36944,52914;
9742,46630,48034;
9742,51526,46232;
9742,49134,49452;
9742,36560,45984;
9742,56056,42976;
9742,42902,46232;
9742,39730,34760;
9742,38790,34144;
9742,39318,35408;
9742,57048,47988;
9742,38336,46480;
9742,31496,30498;
9742,37154,40430;
9742,37840,42572;
9742,54502,59274;
9742,39196,37610;
9742,45382,44098;
9742,32392,47806;
9742,36670,52622;
9742,29566,40118;
9742,38458,42740;
9742,28884,44250;
9742,39130,54250;
9742,40226,39338;
9742,40118,33210;
9742,58722,50188;
9742,23230,47528;
9742,65560,53108;
9742,50934,37610;
9742,37140,29946;
9742,46790,31790;
9742,42758,53766;
9742,41234,57150;
9742,51872,43120;
9742,41768,41658;
9742,49172,52914;
9742,62996,47658;
9742,36696,54874;
9742,37948,52148;
9742,36608,44098;
9742,40102,46610;
9742,44060,41734;
9742,44960,55728;
9742,58352,37636;
9742,51912,50560;
9742,32474,43392;
9742,32924,43656;
9742,35418,56778;
9742,46912,47636;
9742,25694,42300;
9742,42144,57168;
9742,34350,37468;
9742,58396,48418;
9742,48360,57632;
9742,44176,59274;
9742,52942,46214;
9742,55252,38540;
9742,45164,37444;
9742,54988,45556;
9742,37288,52206;
9742,48018,64290;
9742,32154,42828;
9742,39710,41490;
9742,42362,42976;
9742,35512,53404;
9742,55788,43392;
9742,40882,37868;
9742,47574,43392;
9742,49232,44098;
9742,37150,38122;
9742,42634,48128;
9742,44334,37614;
9742,39080,39758;
9742,38188,48740;
9742,47150,34348;
9742,40720,49022;
9742,48464,42882;
9742,48392,36606;
9742,38798,37948;
9742,47040,43374;
9742,46838,40782;
9742,43768,44570;
9742,42336,58144;
9742,43300,34208;
9742,51526,36670;
9742,37898,42300;
9742,29250,51088;
9742,36026,44158;
9742,48918,29946;
9742,32584,42624;
9742,49568,40782;
9742,32698,42844;
